name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Parc éolien en mer de saint-nazaire, Saint-Nazaire",2023-12-04T00:00:00,9.8,6.3,8.8,93.44,1.984,100,rain,0,0,52,29.6,180,1004.2,100,5.5,0,0,0,,"Rain, Overcast",rain,"07300099999,LFRZ,E0490,07217099999,07207099999,LFRS,07222099999"
"Parc éolien en mer de saint-nazaire, Saint-Nazaire",2023-12-04T01:00:00,9.9,6.2,9,94.17,0,0,,0,0,53.7,33.5,180,1002.5,100,7.9,0,0,0,,Overcast,cloudy,"07300099999,LFRZ,E0490,07217099999,07207099999,LFRS,07222099999"
"Parc éolien en mer de saint-nazaire, Saint-Nazaire",2023-12-04T02:00:00,10.9,10.9,9.8,92.85,0.595,100,rain,0,0,55.5,33.5,190,1001.4,100,10,0,0,0,,"Rain, Overcast",rain,"07300099999,LFRZ,E0490,07217099999,07207099999,LFRS,07222099999"
"Parc éolien en mer de saint-nazaire, Saint-Nazaire",2023-12-04T03:00:00,11,11,10,93.54,0.005,100,rain,0,0,57.6,37.1,180,1000.1,100,12.2,0,0,0,,"Rain, Overcast",rain,"07300099999,LFRZ,E0490,07217099999,07207099999,LFRS,07222099999"
"Parc éolien en mer de saint-nazaire, Saint-Nazaire",2023-12-04T04:00:00,12.1,12.1,10,86.66,0,0,,0,0,55.5,31.7,180,998.5,89.2,13.9,0,0,0,,Partially cloudy,partly-cloudy-night,"07300099999,LFRZ,E0490,07217099999,07207099999,LFRS,07222099999"
"Parc éolien en mer de saint-nazaire, Saint-Nazaire",2023-12-04T05:00:00,12.7,12.7,10.8,88.01,0.796,100,rain,0,0,59.5,40.6,200,997.3,94.7,8.9,0,0,0,,"Rain, Overcast",rain,"07300099999,LFRZ,E0490,07217099999,07207099999,LFRS,07222099999"
"Parc éolien en mer de saint-nazaire, Saint-Nazaire",2023-12-04T06:00:00,12.7,12.7,11,89.62,1.994,100,rain,0,0,59.4,44.5,210,996.2,94.6,6.1,0,0,0,,"Rain, Overcast",rain,"07300099999,LFRZ,E0490,07217099999,07207099999,LFRS,07222099999"
"Parc éolien en mer de saint-nazaire, Saint-Nazaire",2023-12-04T07:00:00,12.8,12.8,10.8,87.67,3.475,100,rain,0,0,71.5,44.5,210,995.3,94.6,8.3,0,0,0,,"Rain, Overcast",rain,"07300099999,LFRZ,E0490,07217099999,07207099999,LFRS,07222099999"
"Parc éolien en mer de saint-nazaire, Saint-Nazaire",2023-12-04T08:00:00,11.8,11.8,8.9,82.53,0.203,100,rain,0,0,77,48,220,994.4,94.6,9.5,0,0,0,,"Rain, Overcast",rain,"07300099999,LFRZ,E0490,07217099999,07207099999,LFRS,07222099999"
"Parc éolien en mer de saint-nazaire, Saint-Nazaire",2023-12-04T09:00:00,12.2,12.2,10.7,90.87,0.595,100,rain,0,0,64.7,33.5,230,994.4,94.6,10.6,16,0.1,0,,"Rain, Overcast",rain,"07300099999,LFRZ,E0490,07217099999,07207099999,LFRS,07222099999"
"Parc éolien en mer de saint-nazaire, Saint-Nazaire",2023-12-04T10:00:00,11.9,11.9,9.9,87.61,0,0,,0,0,53.7,27.7,260,995.4,94.6,29.2,114,0.4,1,,Overcast,cloudy,"07300099999,LFRZ,E0490,07217099999,07207099999,LFRS,07222099999"
"Parc éolien en mer de saint-nazaire, Saint-Nazaire",2023-12-04T11:00:00,12.8,12.8,10.2,84.18,0.004,100,rain,0,0,51.9,31.6,270,996.4,89.1,8.9,107,0.4,1,,"Rain, Partially cloudy",rain,"07300099999,LFRZ,E0490,07217099999,07207099999,LFRS,07222099999"
"Parc éolien en mer de saint-nazaire, Saint-Nazaire",2023-12-04T12:00:00,13.1,13.1,9.2,77.34,0.612,100,rain,0,0,55.5,37,260,997.1,89.1,14.9,54,0.2,1,,"Rain, Partially cloudy",rain,"07300099999,LFRZ,E0490,07217099999,07207099999,LFRS,07222099999"
"Parc éolien en mer de saint-nazaire, Saint-Nazaire",2023-12-04T13:00:00,12.8,12.8,9,77.84,0,0,,0,0,68,44.5,270,997.3,89.1,19.9,315,1.1,3,,Partially cloudy,partly-cloudy-day,"07300099999,LFRZ,E0490,07217099999,07207099999,LFRS,07222099999"
"Parc éolien en mer de saint-nazaire, Saint-Nazaire",2023-12-04T14:00:00,12.2,12.2,7.2,71.57,0.005,100,rain,0,0,72.6,44.6,280,998.5,99.9,14.4,278,1,3,,"Rain, Overcast",rain,"07300099999,LFRZ,E0490,07217099999,07207099999,LFRS,07222099999"
"Parc éolien en mer de saint-nazaire, Saint-Nazaire",2023-12-04T15:00:00,11.9,11.9,7.1,72.31,0.002,100,rain,0,0,64.8,44.6,280,999.4,89.1,7.9,194,0.7,2,,"Rain, Partially cloudy",rain,"07300099999,LFRZ,E0490,07217099999,07207099999,LFRS,07222099999"
"Parc éolien en mer de saint-nazaire, Saint-Nazaire",2023-12-04T16:00:00,10.9,10.9,6.9,76.34,0,0,,0,0,61.4,40.6,280,1001.1,99.9,14.9,35,0.1,0,,Overcast,cloudy,"07300099999,LFRZ,E0490,07217099999,07207099999,LFRS,07222099999"
"Parc éolien en mer de saint-nazaire, Saint-Nazaire",2023-12-04T17:00:00,10.1,10.1,5.1,71.13,0.001,100,rain,0,0,55.5,35.3,280,1002.2,25,29.4,5,0,0,,"Rain, Partially cloudy",rain,"07300099999,LFRZ,E0490,07217099999,07207099999,LFRS,07222099999"
"Parc éolien en mer de saint-nazaire, Saint-Nazaire",2023-12-04T18:00:00,9.8,5.8,4.8,71.08,0,0,,0,0,60.6,38.8,280,1003.4,25,29.4,0,0,0,,Partially cloudy,partly-cloudy-night,"07300099999,LFRZ,E0490,07217099999,07207099999,LFRS,07222099999"
"Parc éolien en mer de saint-nazaire, Saint-Nazaire",2023-12-04T19:00:00,9.7,5.7,4.8,71.34,0,0,,0,0,61.2,38.8,280,1004.5,99.8,29.3,0,0,0,,Overcast,cloudy,"07300099999,LFRZ,E0490,07217099999,07207099999,LFRS,07222099999"
"Parc éolien en mer de saint-nazaire, Saint-Nazaire",2023-12-04T20:00:00,9.1,4.9,3.9,70.1,0,0,,0,0,57.7,37.1,280,1005.6,99.9,26.6,0,0,0,,Overcast,cloudy,"07300099999,LFRZ,E0490,07217099999,07207099999,LFRS,07222099999"
"Parc éolien en mer de saint-nazaire, Saint-Nazaire",2023-12-04T21:00:00,8.9,4.5,2.8,65.56,0,0,,0,0,64.8,40.6,280,1006.6,90,26.6,0,0,0,,Partially cloudy,partly-cloudy-night,"07300099999,LFRZ,E0490,07217099999,07207099999,LFRS,07222099999"
"Parc éolien en mer de saint-nazaire, Saint-Nazaire",2023-12-04T22:00:00,8.8,4.3,1.1,58.43,0,0,,0,0,64.8,40.6,280,1007.6,83,26.5,0,0,0,,Partially cloudy,partly-cloudy-night,"07300099999,LFRZ,E0490,07217099999,07207099999,LFRS,07222099999"
"Parc éolien en mer de saint-nazaire, Saint-Nazaire",2023-12-04T23:00:00,8.2,3.6,0.8,59.68,0,0,,0,0,63,38.8,280,1008.5,19.7,29.3,0,0,0,,Clear,clear-night,"07300099999,LFRZ,E0490,07217099999,07207099999,LFRS,07222099999"
